spkid,ma,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
3721222,57.73068673737364,"       (2015 LM24)",1.962508774727201,.5765849371362284,9.05154025028898,76.90787195565335,252.42316112759,.8309557762218214,3.094061773232581,2.74932203677965,32,6,47,,,23.5
3721238,144.1354099931553,"       (2015 LT24)",1.517467519599834,.69818482918683,13.38664324603912,117.29315638771,28.52570661443241,.4579947186314614,2.576940320568208,1.86933573560989,11,7,59,,,22.4
3721237,15.78421142603072,"       (2015 LV24)",1.041789686403762,.08666838435482581,9.767571649166477,87.54284837003051,2.953471247181632,.9514994574456276,1.132079915361897,1.06335501281908,216,3,49,,,23.4
3721288,79.16155864003954,"       (2015 LU38)",1.39705159661772,.4130459196055113,19.51414273380524,89.44216872126574,274.2456528683177,.8200051351564059,1.974098058079034,1.65130338536435,24,7,42,,,21.7
3721410,116.8147098244421,"       (2015 LA40)",1.850540044653931,.4880326071038762,20.48101773910666,254.9223403541319,280.9916698560181,.9474161621113497,2.753663927196512,2.51742147934101,34,6,26,,,22.4
3721223,118.3193904813134,"       (2015 MA)",1.127361337539165,.36645788671978,23.37764296916354,84.95780917721308,276.9601535507812,.7142308842149782,1.540491790863352,1.19702413624164,,6,41,,,26.4
3721289,257.6738635895187,"       (2015 MC)",1.066822624425104,.2629518779760249,1.739937268127379,237.6040240828513,288.055497059816,.786299611865211,1.347345636984996,1.10191102475289,17,6,101,,,24.1
3721409,52.14890038782564,"       (2015 MN11)",2.039170620994456,.7051799107123246,5.714505618282663,278.5185919055422,85.38814449185058,.6011884645543902,3.477152777434522,2.91198109056605,8,7,36,,,24.6
3721907,48.61608469597807,"       (2015 MW53)",1.202426937428122,.1968938838718154,36.45215141673058,85.54087318166047,314.7925862860939,.9656764276458062,1.439177447210437,1.31854892119082,199,3,129,,,21.6
3721909,52.63698337286278,"       (2015 MZ53)",1.144185781235358,.1883717633537392,2.207299431421196,259.6605881971397,298.3130016619381,.9286534880197775,1.359718074450937,1.22391997291357,2,8,7,,,27.5
3721912,44.65429731248444,"       (2015 MA54)",2.520493690088367,.6138521038747979,2.839886769741434,112.9874970291905,186.1729150613848,.9732833356244702,4.067704044552265,4.00162717863942,4,7,69,,,25.3
3721908,178.5836296699113,"       (2015 MB54)",1.3074089304605,.2390286208302073,2.814698580419634,155.3100522484162,44.72249884156795,.9949007769514304,1.61991708396957,1.4949455439435,20,7,12,,,24.1
3721991,52.35652620094644,"       (2015 MT59)",1.75268467724989,.6263542054986294,9.430541455064056,52.20792510993669,341.7075844414657,.6548832587414133,2.850486095758366,2.32040550477207,237,4,62,,,19.3
3721995,105.9047568552918,"       (2015 MF60)",1.975506594078788,.5857752548994983,9.336488029844833,198.2450653845722,344.7226315547591,.8183037153766463,3.13270947278093,2.77668061136692,55,4,50,,,19.6
3722211,69.30328523883756,"       (2015 MN66)",1.219673901335248,.452586923386544,17.74803312709094,56.91650205789735,333.5950891320325,.667665442795065,1.771682359875432,1.34701923869719,297,3,53,,,20.1
3722209,76.29996079857654,"       (2015 MO66)",1.231109781370182,.5537413400526039,24.98924379336145,72.13660547597834,323.1332108021419,.5493934012823892,1.912826161457975,1.366008416038,283,3,41,,,20.2
3722517,56.17708911958158,"       (2015 MO89)",2.120131434549863,.5207705000009171,7.715920973070098,86.09592163429241,213.2062984114179,1.016029527311669,3.224233341788056,3.087111958805,27,7,33,,,23.6
3723701,46.47157617064899,"       (2015 MQ101)",2.11547889134099,.5723626470403446,21.86824606412042,265.2584518243762,90.53837892508561,.9046577933350877,3.326299989346893,3.07695572112057,151,4,59,,,19.9
3723702,343.328486433804,"       (2015 MR101)",1.335823718748459,.5222944164787053,32.13764442165984,274.9460046927765,188.8412973733056,.6381304490463182,2.033516988450599,1.54394536475632,292,3,45,,,18.5
3723766,40.57160427132515,"       (2015 ME116)",1.03605236404023,.149013983423397,24.33369020036346,120.8840816435778,307.8690108150967,.8816660742393683,1.190438653841092,1.05458298816958,30,5,62,,,22.2
3723767,326.912723595415,"       (2015 MG116)",1.463735219464873,.5653091524985094,2.450399331869966,174.7619242005782,201.8169189942192,.636272303066966,2.29119813586278,1.77093241080899,9,8,41,,,22.1
3723816,59.0415329873864,"       (2015 MN116)",1.70800392235982,.5296983150598933,44.76594375702171,265.1345362662317,97.06441139992923,.8032771225701347,2.612730722149506,2.23224314418065,174,3,76,,,19.8
3723817,114.8801677896835,"       (2015 MO116)",1.240003154581243,.2044111023673275,15.4698482447555,105.7948715128856,210.7230015715577,.9865327428143276,1.493473566348158,1.38083690998021,11,2,34,2,1,24.0
3723829,249.893778149547,"       (2015 MQ116)",1.090611663046179,.1812786655514446,14.79470022572978,281.6422641287825,258.7673989340627,.8929070361343258,1.288316289958032,1.13897294720018,21,6,33,,,23.4
3724222,316.821638863031,"       (2015 MZ130)",1.203563696716663,.1647656870953638,11.47469802198766,96.84327367060521,228.5924895476597,1.005257697264106,1.40186969616922,1.32041917236985,1,9,7,,,25.2
3724216,328.2058983494624,"       (2015 MC131)",1.529066073250007,.4058760809128035,1.078146618529803,87.24033970936711,256.7780141590831,.9084547279825647,2.14967741851745,1.89080865147899,1,9,6,,,24.8
3723853,344.9586104006205,"       (2015 NF)",2.189491631318339,.8576358481998575,33.0167768522146,109.0281505496986,292.3349605393621,.3117051189661456,4.067278143670532,3.23983681892028,10,8,114,,,19.6
3723888,202.4196246559494,"       (2015 NU2)",1.138731500914197,.6482168129998679,8.135013270139613,243.778942020301,279.8163559309395,.4005865965290402,1.876876405299354,1.21517885652937,47,5,45,,,20.9
3723922,90.1732715134485,"       (2015 ND3)",1.801396813634992,.453394355976638,4.808290321301275,275.7457034064329,330.8672068698347,.9846536654585871,2.618139961811397,2.41781065752253,37,5,50,,,26.0
3723951,50.1707076163909,"       (2015 NJ3)",1.688620649465955,.6705012991308089,12.27894949775314,134.599044949795,251.20724332,.556398310259922,2.820842988671989,2.19435225840718,208,4,52,,,20.5
