id,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
a0000143,"   143 Adria",2.760801532723318,.07409421170198636,11.44859231616882,333.0716839517037,253.310831546858,2.556242119490548,2.965360945956087,4.58734056417052,49633,0,1593,,,9.12
a0000144,"   144 Vibilia",2.655461659311294,.2346822292342594,4.80656661913965,76.42306091975625,293.526580753553,2.032271997458014,3.278651321164574,4.32731245964025,40472,0,1558,,,7.91
a0000145,"   145 Adeona",2.673284521084162,.1445849049462683,12.63431227335372,77.42779826348313,44.00737063210769,2.286767932708878,3.059801109459445,4.37095140207139,47548,0,1130,,,8.13
a0000146,"   146 Lucina",2.71835933809102,.06661305737170982,13.09352892545271,83.97310140682092,146.9588364091638,2.53728111154584,2.899437564636201,4.48196540680901,47610,0,1456,,,8.20
a0000147,"   147 Protogeneia",3.135737706058896,.02808428622282941,1.930586413672994,248.357316765515,101.0734398819555,3.04767275080222,3.223802661315573,5.55287368824088,48222,0,1979,,,8.8
a0000156,"   156 Xanthippe",2.727009764846195,.2272520991818396,9.778465149215814,241.8440737947589,338.4190103305922,2.107291071295522,3.346728458396867,4.50337634079493,41821,0,1975,,,8.64
a0000159,"   159 Aemilia",3.102787331607434,.1079556668412284,6.131183746459617,134.1311996356557,333.3911025382921,2.767823856157237,3.43775080705763,5.46557951137003,40969,0,1720,,,8.12
a0000163,"   163 Erigone",2.367339461299942,.1907525072302463,4.814820070886951,160.1660156233327,298.2668612843045,1.915763523591877,2.818915399008006,3.64249537011405,44925,0,1750,,,9.47
a0000168,"   168 Sibylla",3.384512295214966,.069567731574988,4.646465549297282,206.0615827437706,173.1450195276416,3.149059452349205,3.619965138080727,6.22661977330981,49646,0,1810,,,7.94
a0000171,"   171 Ophelia",3.130566851279783,.13195799598014,2.546594529571005,100.538044332612,56.97956620966411,2.717463523303046,3.54367017925652,5.53914425715308,44579,0,1956,,,8.31
a0000173,"   173 Ino",2.747210417928601,.2063848454707867,14.21039989224108,148.2661664909016,228.4159157795852,2.180227820348672,3.314193015508531,4.55350784756849,50095,0,1564,,,7.66
a0000175,"   175 Andromache",3.185516724037686,.2326755729268246,3.218402517644487,21.35334464184917,320.4423122717095,2.444324795204236,3.926708652871135,5.68562270149088,50472,0,1985,,,8.31
a0000185,"   185 Eunike",2.737939912124121,.1292805419370472,23.2381636749252,153.8396365615443,224.0770722242136,2.383977556493643,3.0919022677546,4.53047847481693,47937,0,2147,,,7.62
a0000187,"   187 Lamberta",2.727976676337547,.2410764870199128,10.58797074693715,21.7053889545645,196.9126064145344,2.070325642533834,3.385627710141261,4.50577168551315,41424,0,1622,,,8.16
a0000194,"   194 Prokne",2.61572773227995,.2380473218514896,18.50946036037875,159.3158592545078,163.2568299282169,1.993060750918038,3.238394713641862,4.23055170753099,49950,0,1701,,,7.68
a0000195,"   195 Eurykleia",2.877229438774003,.04427868766317106,6.971792904339842,6.993242138104348,119.4896428498754,2.749829495119248,3.004629382428758,4.88056324598499,48177,0,1905,,,9.01
a0000200,"   200 Dynamene",2.737838872501801,.1333442364102594,6.895846481975945,324.5768594374867,85.09437980721641,2.372763838633723,3.10291390636988,4.53022769122116,49845,0,1525,,,8.26
a0000205,"   205 Martha",2.778509950778206,.03502503517563579,10.69114793017057,211.7967378682218,177.2700043509727,2.681192542016345,2.875827359540067,4.63154765522388,49828,0,1575,,,9.23
a0000206,"   206 Hersilia",2.74101962421247,.03753230816543662,3.778695654324323,145.170462553125,299.5896913372865,2.638142830989018,2.843896417435921,4.5381246390491,49798,0,1739,,,8.68
a0000207,"   207 Hedda",2.284088996342086,.02907253752715939,3.803511994781855,29.21258919045665,192.8092453304069,2.217684733280559,2.350493259403613,3.45205522355578,48769,0,1747,,,9.92
a0000209,"   209 Dido",3.151139902601866,.0584422725259309,7.173110840120779,.6843908351360546,248.2863602354657,2.966980125646672,3.335299679557059,5.59383600566981,49817,0,1719,,,8.24
a0000211,"   211 Isolda",3.041560905984729,.1614435077051523,3.886185765603151,263.651038600279,173.5549157951239,2.550520644423693,3.532601167545765,5.30460412217074,49533,0,1514,,,7.89
a0000232,"   232 Russia",2.553017474464528,.1745253768979379,6.065984780692011,152.2520447163881,52.13180970534184,2.107451137506585,2.998583811422472,4.07933041420179,37382,0,1553,,,10.25
a0000238,"   238 Hypatia",2.910356176613379,.08740875025800059,12.40623198147685,183.8851425190156,210.7315766014482,2.65596558040995,3.164746772816807,4.96509332125598,45290,0,1601,,,8.18
a0000240,"   240 Vanadis",2.665192541728163,.2054862066934352,2.10430979723072,115.1915132993714,300.1273776253997,2.117532236220808,3.212852847235518,4.3511202530255,48050,0,1910,,,9.00
a0000266,"   266 Aline",2.804378960871997,.1564571230221654,13.39807286904441,235.9039296920982,150.5133526723929,2.365613896790074,3.243144024953919,4.69638024624107,45623,0,1530,,,8.80
a0000304,"   304 Olga",2.403069149585668,.2223813945133365,15.85324193962987,159.0806973998006,172.4504717797829,1.86867128098883,2.937467018182506,3.72526870744115,45577,0,1504,,,9.74
a0000313,"   313 Chaldaea",2.375546409730152,.1810289151725607,11.65334500849752,176.6399383841885,315.9915281683225,1.945503820234631,2.805588999225673,3.66145314888381,44849,0,1740,,,8.90
a0000326,"   326 Tamara",2.317383642497256,.1897483706526708,23.72948356756025,32.20810933480355,238.5216350672678,1.87766387215625,2.757103412838262,3.52780935824687,44731,0,1234,,,9.36
a0000329,"   329 Svea",2.476349352484712,.02544086936538661,15.88202347608929,178.49098817,55.68987608358397,2.413348872105089,2.539349832864336,3.89696111056344,45282,0,1785,,,9.6
a0000334,"   334 Chicago (1892 L)",3.895559763489309,.02216869443935075,4.641446079133609,130.1836742197688,148.5852549140726,3.809200289422284,3.981919237556332,7.68887869834507,45069,0,1974,,,7.7
a0000342,"   342 Endymion (1892 K)",2.5692102748051,.1278123560100339,7.347825452892701,232.691398553598,224.66734499911,2.240833456497074,2.897587093113127,4.11820230678346,42141,0,1714,,,10.22
a0000344,"   344 Desiderata (1892 M)",2.598068722387087,.3137132429799163,18.33714776515967,48.09110181238896,237.3792306194016,1.783020158002346,3.413117286771827,4.18778285071842,45043,0,1469,,,8.08
a0000345,"   345 Tercidina (1892 O)",2.325376278830957,.06121680397128568,9.74720140487787,212.6331048257813,230.3150746397356,2.183024175010285,2.467728382651629,3.54607616255333,44882,0,1553,,,8.71
a0000350,"   350 Ornamenta (1892 U)",3.109025559239353,.159280116581019,24.89335198169875,90.10835554220463,338.3856751371084,2.613819605710341,3.604231512768365,5.48207080962033,45009,0,1177,,,8.37
