,asteroid_full_name,asteroid_id,asteroid_q_function,asteroid_tisserand,cycler_orbit_index,cycler_orbit_q_function,cycler_orbit_tisserand,delta_q_function,delta_tisserand
39100,       (2002 LR24),bK02L24R,0.806237239989,2.85829306683,11,0.135443868916,2.86006511611,0.670793371074,0.00177204928342
36370,       (2009 SL),bK09S00L,1.65393721752,2.85403103158,10,0.1701329397,2.85225723988,1.48380427782,0.00177379170077
40962,       (2013 VQ4),bK13V04Q,0.931782896102,2.86187455654,11,0.135443868916,2.86006511611,0.796339027186,0.00180944043414
36526,       (2010 GL23),bK10G23L,0.227249162452,2.85044278418,10,0.1701329397,2.85225723988,0.0571162227519,0.0018144557017
36075,       (2007 WJ3),bK07W03J,0.154261964963,2.8540730311,10,0.1701329397,2.85225723988,0.0158709747379,0.00181579121512
40963,       (2013 VW4),bK13V04W,0.186167882747,2.86195654906,11,0.135443868916,2.86006511611,0.050724013831,0.00189143295562
35550,       (2001 ND13),bK01N13D,0.384770123462,2.85033943018,10,0.1701329397,2.85225723988,0.214637183762,0.00191780970499
37609,       (2014 HR184),bK14HI4R,0.521698038641,2.8542025199,10,0.1701329397,2.85225723988,0.351565098941,0.0019452800163
40645,       (2012 SZ2),bK12S02Z,1.14302400472,2.86204865254,11,0.135443868916,2.86006511611,1.00758013581,0.001983536434
35630,       (2003 DH6),bK03D06H,0.27590078274,2.85429334147,10,0.1701329397,2.85225723988,0.105767843039,0.0020361015917
31830,380476 (2003 YO1),a0380476,0.370300772026,2.77608826271,9,0.324281927812,2.77813056648,0.0460188442136,0.00204230376523
37558,       (2014 EH24),bK14E24H,0.141218546456,2.85431738819,10,0.1701329397,2.85225723988,0.0289143932447,0.00206014830212
35745,       (2004 VB),bK04V00B,0.126900599031,2.85018780784,10,0.1701329397,2.85225723988,0.0432323406691,0.00206943203914
36024,       (2007 NL1),bK07N01L,0.676355133079,2.85017817398,10,0.1701329397,2.85225723988,0.506222193379,0.00207906590716
37669,       (2014 JW79),bK14J79W,0.116320415713,2.85014798507,10,0.1701329397,2.85225723988,0.0538125239872,0.0021092548126
37303,       (2013 EH89),bK13E89H,0.17940034651,2.85014751087,10,0.1701329397,2.85225723988,0.0092674068094,0.00210972901545
40184,       (2010 VR),bK10V00R,1.00551137257,2.86217956722,11,0.135443868916,2.86006511611,0.870067503654,0.00211445111481
35945,       (2006 UE17),bK06U17E,0.128643615474,2.85013982509,10,0.1701329397,2.85225723988,0.0414893242261,0.00211741478995
36437,       (2009 WV25),bK09W25V,0.0977411298195,2.85441684606,10,0.1701329397,2.85225723988,0.0723918098809,0.00215960617497
40904,       (2013 RO9),bK13R09O,0.349692570278,2.86226326123,11,0.135443868916,2.86006511611,0.214248701362,0.00219814511992
35738,       (2004 TP1),bK04T01P,0.102203136242,2.85004730569,10,0.1701329397,2.85225723988,0.0679298034589,0.00220993419234
37463,       (2013 VA12),bK13V12A,0.105526837768,2.85447446759,10,0.1701329397,2.85225723988,0.0646061019327,0.00221722770892
40454,       (2011 WP4),bK11W04P,0.0953974793759,2.8578358462,11,0.135443868916,2.86006511611,0.0400463895399,0.00222926990976
34943,       (2016 EB1),bK16E01B,0.136751932152,2.78037511949,9,0.324281927812,2.77813056648,0.18752999566,0.00224455301348
41162,       (2014 JY30),bK14J30Y,0.0954621044712,2.85780431356,11,0.135443868916,2.86006511611,0.0399817644447,0.00226080255036
39147,       (2003 MS2),bK03M02S,0.936666964396,2.86245653775,11,0.135443868916,2.86006511611,0.80122309548,0.00239142164379
38006,       (2015 FK35),bK15F35K,0.0991929637117,2.84985166528,10,0.1701329397,2.85225723988,0.0709399759888,0.00240557460761
38738,264993 (2003 DX10),a0264993,0.101215613074,2.86249394388,11,0.135443868916,2.86006511611,0.0342282558414,0.00242882777452
40474,       (2011 YC40),bK11Y40C,0.127656998212,2.85762619691,11,0.135443868916,2.86006511611,0.00778687070422,0.00243891919439
37075,       (2012 GC2),bK12G02C,0.393781771554,2.8497705325,10,0.1701329397,2.85225723988,0.223648831854,0.0024867073875
40048,       (2010 HG20),bK10H20G,0.311558273741,2.85755565631,11,0.135443868916,2.86006511611,0.176114404825,0.00250945980352
35254,303262 (2004 RJ84),a0303262,0.204857748175,2.84968233018,10,0.1701329397,2.85225723988,0.0347248084749,0.00257490970103
37288,       (2013 ET),bK13E00T,0.161619768964,2.84962083159,10,0.1701329397,2.85225723988,0.00851317073683,0.00263640828833
38666,162082 (1998 HL1),a0162082,1.49658537383,2.8627855205,11,0.135443868916,2.86006511611,1.36114150492,0.00272040439337
38957,461353 (1999 LS7),a0461353,0.434512559056,2.85732254424,11,0.135443868916,2.86006511611,0.29906869014,0.00274257187317
40213,       (2010 WC3),bK10W03C,0.424194205597,2.86282807846,11,0.135443868916,2.86006511611,0.288750336681,0.00276296234875
35042,       (2016 GA221),bK16GM1A,0.221038552096,2.77532475302,9,0.324281927812,2.77813056648,0.103243375716,0.00280581345569
39485,       (2007 BD8),bK07B08D,0.0990076316257,2.86287179507,11,0.135443868916,2.86006511611,0.0364362372901,0.0028066789621
36260,       (2008 XB2),bK08X02B,0.10402237318,2.85511328297,10,0.1701329397,2.85225723988,0.0661105665208,0.00285604308433
41472,       (2015 DY53),bK15D53Y,0.142265529587,2.86294062072,11,0.135443868916,2.86006511611,0.00682166067098,0.00287550460958
40480,       (2012 AW),bK12A00W,0.330046542783,2.86296228886,11,0.135443868916,2.86006511611,0.194602673867,0.00289717274831
39549,       (2007 TL16),bK07T16L,0.105179803646,2.86297003544,11,0.135443868916,2.86006511611,0.0302640652703,0.0029049193336
36196,       (2008 SJ148),bK08SE8J,0.111620008449,2.85517304691,10,0.1701329397,2.85225723988,0.0585129312516,0.00291580702932
39907,       (2009 UU1),bK09U01U,0.116863812041,2.85714926989,11,0.135443868916,2.86006511611,0.0185800568751,0.00291584621698
32889,       (2009 TQ8),bK09T08Q,0.149935385597,2.7751865033,9,0.324281927812,2.77813056648,0.174346542215,0.00294406317669
